,Ticker,Position,Date,Company Name,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily return,1-week (5-day) moving average daily return,Rolling cumulative sum of volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L
0,A,1000.0,2020-06-11,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,83.97364044189453,0.0,87.52891483678043,83.96376256580932,87.52891483678043,0.0,2491300.0,,,2491300.0,,,
0,A,1000.0,2020-06-12,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,85.04022216796875,0.0,86.21544074049594,82.94655705023366,85.75127853001506,0.0,1520000.0,-0.34362988292808744,0.666798871532199,4386393981.0,-343.62988292808745,-343.62988292808745,-343.62988292808745
0,A,1000.0,2020-06-15,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,85.87966918945312,0.0,86.19569343303131,82.67004490467596,83.35147524082767,0.0,1551400.0,-0.35203250768914607,0.6616746370638181,8029149849.0,-352.0325076891461,-695.6623906172335,-695.6623906172335
0,A,1000.0,2020-06-16,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,86.35370635986328,0.0,88.1313398435313,85.43525975618726,87.77581163987529,0.0,1049200.0,-0.34469231339291295,0.6312493684296432,11409160691.0,-344.692313392913,-1040.3547040101466,-1040.3547040101466
0,A,1000.0,2020-06-17,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,86.82774353027344,0.0,87.64743401727722,86.37345914261908,86.75861346116544,0.0,900800.0,-0.35531384240152303,0.6331890651016482,14894901125.0,-355.313842401523,-1395.6685464116697,-1395.6685464116697
0,A,1000.0,2020-06-18,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,87.11414337158203,0.0,87.40054153046816,86.17594848199266,86.34383471956338,0.0,1491500.0,-0.3557879154332864,0.6544768658713203,17587955043.0,-355.7879154332864,-1751.456461844956,-1751.456461844956
0,A,1000.0,2020-06-19,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,87.62767791748047,0.0,88.674506736861,86.66972737841185,88.29923032896899,0.0,1784700.0,-0.3548672200526575,0.660307360370973,20119979503.0,-354.86722005265744,-2106.3236818976134,-2106.3236818976134
0,A,1000.0,2020-06-22,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,87.43016052246094,0.0,87.96345282312538,86.67960015101336,87.53879455785251,0.0,1245500.0,-0.35632138327100615,0.6718308942078426,25370389480.0,-356.32138327100614,-2462.6450651686196,-2462.6450651686196
0,A,1000.0,2020-06-23,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,88.17083740234375,0.0,88.5856177649074,87.55854473416258,88.08195912519932,0.0,1160300.0,-0.34868783744957804,0.6773102474119473,28073183934.0,-348.68783744957807,-2811.3329026181977,-2811.3329026181977
0,A,1000.0,2020-06-24,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,85.48463439941406,0.0,87.97333183462902,85.24761810759762,87.97333183462902,0.0,1806600.0,-0.3738801848344633,0.6812647262826699,31037712783.0,-373.8801848344633,-3185.213087452661,-3185.213087452661
0,A,1000.0,2020-06-25,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,86.17593383789062,0.0,86.26481211281443,83.74649637335993,85.3562434742962,0.0,1350100.0,-0.3509105553438264,0.713474002756565,34445467021.0,-350.91055534382645,-3536.1236427964877,-3536.1236427964877
0,A,1000.0,2020-06-26,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,84.83283233642578,0.0,86.47220559161723,84.45754840233941,86.14631103650484,0.0,2225800.0,-0.36579653693431385,0.7036310392417028,37352000477.0,-365.79653693431385,-3901.9201797308015,-3901.9201797308015
0,A,1000.0,2020-06-29,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,86.38658142089844,0.18,86.45585664455461,85.21879368609937,85.66413333097002,0.0,1302500.0,-0.3412799953086789,0.7309001740035049,41932830446.0,-341.2799953086789,-4243.20017503948,-4243.20017503948
0,A,1000.0,2020-06-30,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,87.4554214477539,0.0,87.96013778978322,86.33711149875698,86.42618397410212,0.0,1920200.0,-0.3296939725444241,0.7101756597394464,44694852987.0,-329.6939725444241,-4572.894147583905,-4572.894147583905
0,A,1000.0,2020-07-01,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,87.19808959960938,0.0,87.97001563494666,86.39647526297954,87.97001563494666,0.0,1137000.0,-0.3563434413949695,0.7163463685261628,47630428364.0,-356.3434413949695,-4929.237588978875,-4929.237588978875
0,A,1000.0,2020-07-02,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,87.76219940185547,0.0,88.56381382458537,87.63354756562521,87.91064847469562,0.0,1507700.0,-0.35288789624844696,0.7481464815089608,50494328234.0,-352.88789624844696,-5282.125485227321,-5282.125485227321
