Period,Interest_due A ,Interest_paid A,Interest_shortfall A,Principal_paid A,Balance A,Interest_due B,Interest_paid B,Interest_shortfall B,Principal_paid B,Balance B,Reserve Account
1,94514.58105916665,94514.58105916665,0.0,309835.7972660266,22373663.65693397,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,260498.69367590093
2,93223.59857055821,93223.59857055821,0.0,314102.5648280346,22059561.092105936,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,518021.6022784023
3,91914.83788377473,91914.83788377473,0.0,317898.6631580029,21741662.428947933,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,772013.9450485789
4,90590.26012061638,90590.26012061638,0.0,322082.6619753133,21419579.76697262,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,1032478.8629769211
5,89248.24902905259,89248.24902905259,0.0,326106.5948765677,21093473.17209605,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,1286056.9502263125
6,87889.47155040021,87889.47155040021,0.0,329791.28160471516,20763681.890491337,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,1545145.3743619826
7,86515.34121038057,86515.34121038057,0.0,334092.94268300233,20429588.947808333,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,1784335.486476982
8,85123.28728253471,85123.28728253471,0.0,338181.28499970067,20091407.662808634,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,2035369.1019217833
9,83714.19859503598,83714.19859503598,0.0,342569.84950921644,19748837.813299417,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,2267279.8969341554
10,82286.8242220809,82286.8242220809,0.0,347292.1942853597,19401545.619014055,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,2495895.721543339
11,80839.77341255856,80839.77341255856,0.0,351547.19133714656,19049998.42767691,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,2723494.6419791095
12,79374.99344865378,79374.99344865378,0.0,355861.27940466773,18694137.148272242,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,2962045.444400451
13,77892.23811780101,77892.23811780101,0.0,360441.63693543145,18333695.51133681,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,3186607.4062189176
14,76390.39796390338,76390.39796390338,0.0,364455.12026107544,17969240.391075738,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,3399448.9671165585
15,74871.83496281557,74871.83496281557,0.0,369114.6685051535,17600125.722570583,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,3618773.2809650702
16,73333.85717737743,73333.85717737743,0.0,372776.4577574248,17227349.26481316,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,3862112.032838122
17,71780.6219367215,71780.6219367215,0.0,376980.23860027635,16850369.026212882,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4083100.178910181
18,70209.87094255368,70209.87094255368,0.0,381886.37376502156,16468482.65244786,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4286501.092476509
19,68618.67771853275,68618.67771853275,0.0,385461.232297516,16083021.420150343,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4506356.934910043
20,67012.58925062644,67012.58925062644,0.0,389072.0302484989,15693949.389901845,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4715425.8487088345
21,65391.455791257686,65391.455791257686,0.0,393592.0586325697,15300357.331269275,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4897351.988768859
22,63751.48888028865,63751.48888028865,0.0,398837.32208383485,14901520.00918544,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5080032.015082111
23,62089.666704939336,62089.666704939336,0.0,403124.447901093,14498395.561284348,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5273927.947571806
